id,climate,energy,environment,resources,sustainability,dedicated
GCU08-SGH,0,0,0,0,0,0
GCU08-MEF,0,0,0,0,0,0
GCU08-CPS,0,0,0,0,0,0
GCU08-ADP,0,0,0,0,0,0
HUM07-EPS,0,0,0,0,0,0
HUM07-IE,0,0,0,0,0,0
HUM07-EI,0,0,0,0,0,0
HUM07-ANGL,0,0,0,0,0,0
GCU07-ECLA,0,0,0,0,0,0
GCU07-ACOUS,0,0,0,0,0,0
GCU07-THER2,0,0,0,0,0,0
GCU07-ESL,0,0,0,0,0,0
GCU07-PMDS,0,0,0,0,0,0
GCU07-MDS2,0,0,0,0,0,0
GCU07-BA2,0,0,0,0,0,0
GCU07-AES,0,0,0,0,0,0
GCU06-STAGE,0,0,0,0,0,0
HUM06-PPI,0,0,0,0,0,0
HUM06-EPS,0,0,0,0,0,0
HUM06-SIM,0,0,0,0,0,0
HUM06-ANGL,0,0,0,0,0,0
HUM06-IMO,0,0,0,0,0,0
GCU06-TOPO,0,0,0,0,0,0
GCU06-TECH,0,0,0,0,0,0
GCU06-MAT,0,0,0,0,0,0
GCU06-THER1,0,1,0,0,0,0
GCU06-MDS1,0,0,0,0,0,0
GCU06-MFLU2,0,0,0,0,0,0
GCU06-BA1,0,0,0,0,0,0
GCU06-MSTR2,0,0,0,0,0,0
HUMF1- IE,0,0,0,0,0,0
HUMF1- RI,0,0,0,0,0,0
HUM05-EPS,0,0,0,0,0,0
HUM05-PSH,0,0,0,0,0,0
HUM05-ANGL,0,0,0,0,0,0
HUM05-RISQ,0,0,0,0,1,0
GCU05-ARCH,0,0,0,0,0,0
GCU05-CIME,0,0,0,0,0,0
GCU05-CMM,0,0,0,0,0,0
GCU05-MFLU1,0,0,0,0,0,0
GCU05-GEOL,0,0,0,0,0,0
GCU05-MSTR1,0,0,0,0,0,0
GCU05-MSD,0,0,0,0,0,0
ESM05-MATLAB,0,0,0,0,0,0
ELE09-MISSI,0,0,0,0,0,0
ELE09-ANGL,0,0,0,0,0,0
ELE09-GESTP,0,0,0,0,0,0
ELE09-MANAGI,0,0,0,0,0,0
